Author,Duration,Describtion,Likes,Share,Collection,Comment,URL
¿Ü¡£,21.292s,@Íõ¼Î¶û #Íõ¼Î¶û #°×¾´Í¤ ×ßµ½ÎÒÃæÇ°À´ÁË Ì«Ë§ÁË°É,42851,7207,820,3316,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c6fon8rc77ub8aq9g3ng&line=0&file_id=89db85a99a4b493dba2ba16229317060&sign=b488deba7ae25654bfe105c57103ecd2&is_play_url=1&source=PackSourceEnum_FEED
²»³ÔÄÌÂ¶ÍÏ,5.734s,ÒªÔÚÕâìÚìÚÉú»ÔµÄÈÕ×ÓÀïÉÁÉÁ·¢¹â#18Ëê #²àÁ³,278342,8358,3234,6944,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c614pibc77udja000980&line=0&file_id=e9c2422ae42f4b4a872339a7d3dde5fb&sign=d15af40c5848f9ada2962ef2318f8095&is_play_url=1&source=PackSourceEnum_FEED
ÈôÒÔÊ³ÎªÌì,41.331s,ÔÚÉîÛÚÒ²³Ôµ½ÁËÈÛÑÒµ°°ü·¹£¡»¹ÅäÉÏÁË¼ªÁĞÕ¨Öí°Ç@¶¶ÒôÃÀÊ³ #¶¶ÒôĞÄ¶¯²ÍÌü #ÀË¼Æ»® #¶¶ÒôÌ½µêÍÅ ,344189,72768,13284,18725,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c53f3c3c77u64cbnijt0&line=0&file_id=575397c2ae8c40ac90c2854925bee9c3&sign=0d3f8d4bd4c9644a5cf216edfd30e85a&is_play_url=1&source=PackSourceEnum_FEED
ÁÉÉòÍí±¨,12.7s,Ñ§Éú¼¯ÌåÅ»ÍÂĞ£³¤Í´¿Ş»»²»¶¯ËÍ²Í¹«Ë¾ ¹Ù·½»ØÓ¦£ºÒÑÍ£Ö¹¸Ã¹«Ë¾Åä²Í,4778,306,91,134,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c6g3s83c77ub4apsr110&line=0&file_id=41654342d5394f199874ecc340f859f5&sign=0c6e6b3938b2d56fc05f28f897e8e284&is_play_url=1&source=PackSourceEnum_FEED
À¶ÑÛ¾¦,12.168s,ÕâÒ²²»¹ÖÎ÷ÃÅÇì°¡ ÊÇ°É #¸èÇú¿ÕÌ¨Ï· ,123078,42652,2972,10745,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6eg9t3c77u20suf28a0&line=0&file_id=dfe6ab72557143aa987e454f9d76a5e5&sign=b6cf04b7cb287d8fcaa4c89638f59697&is_play_url=1&source=PackSourceEnum_FEED
·Êà½à½×óÎÀÃÅ,7.058s,Äã¾ÍÎ¯Çüµã ÔÔÎÒÊÖÀïĞĞ²»ĞĞ  #ÉÙÄê¸Ğ,744373,45823,13294,31699,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c62etibc77u4ngn851j0&line=0&file_id=9f9d07f6c5ea4879b3cc9d23b333501b&sign=68e571d8351f27793bf83f41adb13157&is_play_url=1&source=PackSourceEnum_FEED
Yecao³ÂÎÄÇÕ??,12.607s,¡°ÁùÖÖºóÎÀÒ»²½Æô¶¯Í»ÆÆ¹ıÈË¼¼ÇÉ£¬get it ĞÖµÜÃÇ£¡¡±#ÎÒµÄ¼«¹âÀ¶ #Ğ¡³ÂÃîÕĞ¼¼ÄÜ¿â #ÊµÕ½¸É»õ @¶¶ÒôĞ¡ÖúÊÖ,95864,3880,8291,802,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c634r8bc77u4g70ji0r0&line=0&file_id=dd02012d82ad4a79a5f67fef848f8fd9&sign=8a9c04ffe591205f390c6a48059e73b4&is_play_url=1&source=PackSourceEnum_FEED
¼Ö¡¤ÄªÀ¼ÌØÖĞÎÄÍø,25.333s,¡°Ñ¡Ğã»ñµÃÄªÀ¼ÌØ£¬ÃÏ·ÆË¹»ÒĞÜµÄÈËÃñ×ø²»×¡ÁË¡±#ÄªÀ¼ÌØ @¶¶ÒôĞ¡ÖúÊÖ @DOU+Ğ¡ÖúÊÖ ,47754,561,522,373,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c65toerc77u7q9i832ng&line=0&file_id=67949f546a474a5f9656d82794f29fa8&sign=3fa64b496b507f5f926b5ab25e0d37d4&is_play_url=1&source=PackSourceEnum_FEED
ÀºÕß,19.157s,Èı¸öºËĞÄÑµÁ·£¬ÈÃÄãÄÜÔÚ¿ÕÖĞÉÁ×ªÌÚÅ²¡£#½¡ÉíÈÕ³£ #ºËĞÄÑµÁ· #ºËĞÄÁ¦Á¿ ,81660,4239,11356,414,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c63vf9bc77u0eo7ds02g&line=0&file_id=084d96d44404460588df08716c84e0ca&sign=fd7bb2c79d4dce9ce0590ac183665565&is_play_url=1&source=PackSourceEnum_FEED
Ò¹Íí,9.705s,ÄãµÄ³öÏÖ¾ÍÏñÀñÎïÒ»Ñù½µÁÙÎÒµÄÈËÉú,457731,60027,25089,55867,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6bq7mbc77u6vuj91g70&line=0&file_id=c19e91ff1a794aafa4f68df8c296eaf0&sign=c056b98430ffc5ba7ea378042b6dfc00&is_play_url=1&source=PackSourceEnum_FEED
Y??,7.337s,ÄãÈ·¶¨²»À´¸ú´óÃ¨»÷¸öÕÆÂğ£¿?#Ğ¡Ã¨ßä¿ÉÄÜ¶Ô×Ô¼ºÌåÖØºÁÎŞËùÖª #ÆæÃîµÄ¶¯Îï,824,45,64,23,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5m2553c77ue3oil68ig&line=0&file_id=b132db0d1fe449199810c9c480cde195&sign=2f52fb08848defb203046732ae004b8b&is_play_url=1&source=PackSourceEnum_FEED
Gavin,23.267s,×Ü¼Æ300¸ö ÎÈ¶¨Í¶Àº»ù´¡£¬¸Ï½ô°¬ÌØÄãµÄĞ¡»ï°éÀ´Ñ§Ï°°É£¡#ÀºÇò#ÀºÇò½ÌÑ§#Ò»ÌìÒ»¸öĞ¡¼¼ÇÉ,150384,7818,16746,2478,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c632tkrc77u2ki3hkr2g&line=0&file_id=b1f523515f1446ff9b34a8eebaf10376&sign=5676c679e19cf9cce87a0eb4bed005ac&is_play_url=1&source=PackSourceEnum_FEED
